,YEARS,GDPI,REALGDP,NOMINALGDP,GDPDEFLATOR,RELATIONGDPI,RELATIONREALGDP,GDPDEFLATORPREV,INFLATIONRATEBASE,INFLATIONRATEPREV,REALGDPBASE,REALGDPPREV
0,1990,857.9,100.0,100.0,100.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0
1,1991,2203.9,87.1,2.56894742977,2.94942299629,2.56894742977,0.871,2.94942299629,1.94942299629,1.94942299629,747.2309,747.2309
2,1992,6029.2,79.4,7.02785872479,8.85120746196,2.73569581197,0.91159586682,3.00099628744,7.85120746196,2.00099628744,681.1726,2009.06613088
3,1993,20035.7,80.6,23.3543536543,28.9756248812,3.32311086048,1.01511335013,3.27363526454,27.9756248812,2.27363526454,691.4674,6120.32141058
4,1994,49773.2,83.8,58.0174845553,69.2332751257,2.4842256572,1.03970223325,2.38936262495,68.2332751257,1.38936262495,718.9202,20831.1620347
5,1995,72135.5,89.8,84.0838093018,93.6345315165,1.44928395201,1.07159904535,1.35244983495,92.6345315165,0.352449834946,770.3942,53336.9136038
6,1996,108919.6,93.4,126.960718032,135.932246287,1.50993061669,1.04008908686,1.45173200619,134.932246287,0.451732006193,801.2786,75027.3463252
7,1997,252925.7,87.7,294.819559389,336.16825472,2.32213210478,0.938972162741,2.47305745253,335.16825472,1.47305745253,752.3783,102272.472377
8,1998,371193.8,83.5,432.677235109,518.176329472,1.46760016875,0.952109464082,1.54141957843,517.176329472,0.541419578431,716.3465,240812.95268
9,1999,539356.9,81.6,628.694369973,770.458786732,1.4530331595,0.977245508982,1.48686603944,769.458786732,0.486866039437,700.0464,362747.474012
